"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3383.69 (20.55)",0.902,"0.017 (0.000 -- 0.045)","0.073 (0.035 -- 0.120)","1.147 (0.060 -- 3.101)","0.153 (0.000 -- 0.639)","0.198 (0.148 -- 0.241)","0.172 (0.164 -- 0.181)","AlpineGeneralist:Alternating:log(mass)",-0.000104023963810265,-0.0305021795502398,0.0321973099053139,180,0.977777777777778,"fixed",0.0833929103041683,4.92327363537139e-07,0.206467429158771,0.0622547727658054,3.20787929615659e-07,0.168031066056321
"2","Alternating","3383.69 (20.55)",0.902,"0.017 (0.000 -- 0.045)","0.073 (0.035 -- 0.120)","1.147 (0.060 -- 3.101)","0.153 (0.000 -- 0.639)","0.198 (0.148 -- 0.241)","0.172 (0.164 -- 0.181)","AlpineStrict:Alternating:log(mass)",0.0183167636297856,-0.00435117102460936,0.0433561306126649,614.68035901057,0.177777777777778,"fixed",0.0833929103041683,4.92327363537139e-07,0.206467429158771,0.0622547727658054,3.20787929615659e-07,0.168031066056321
"3","GA3","3381.22 (18.08)",0.895,"0.016 (0.000 -- 0.043)","0.072 (0.038 -- 0.112)","0.572 (0.000 -- 1.386)","0.604 (0.000 -- 2.280)","0.200 (0.155 -- 0.244)","0.172 (0.162 -- 0.182)","AlpineGeneralist:GA3:log(mass)",0.00775490637300701,-0.0134405968274223,0.0240900034550577,180,0.433333333333333,"fixed",0.0821820117141674,3.84372590388704e-06,0.199928842766128,0.0618156252231849,2.41793336961795e-06,0.168048694577168
"4","GA3","3381.22 (18.08)",0.895,"0.016 (0.000 -- 0.043)","0.072 (0.038 -- 0.112)","0.572 (0.000 -- 1.386)","0.604 (0.000 -- 2.280)","0.200 (0.155 -- 0.244)","0.172 (0.162 -- 0.182)","AlpineStrict:GA3:log(mass)",0.0160876092262345,-0.0100495576334652,0.0396866784576559,180,0.177777777777778,"fixed",0.0821820117141674,3.84372590388704e-06,0.199928842766128,0.0618156252231849,2.41793336961795e-06,0.168048694577168
"5","Light","3375 (11.86)",0.868,"0.013 (0.000 -- 0.045)","0.065 (0.035 -- 0.110)","0.783 (0.118 -- 1.774)","0.061 (0.000 -- 0.219)","0.199 (0.161 -- 0.250)","0.172 (0.163 -- 0.182)","AlpineGeneralist:Light:log(mass)",-0.0622011239505518,-0.0907902442850173,-0.0307853764707033,140.739167335016,0.00555555555555556,"fixed",0.0680854763201541,1.59121140627762e-06,0.202144681246898,0.052498621828953,1.17856632168628e-06,0.163583092775678
"6","Light","3375 (11.86)",0.868,"0.013 (0.000 -- 0.045)","0.065 (0.035 -- 0.110)","0.783 (0.118 -- 1.774)","0.061 (0.000 -- 0.219)","0.199 (0.161 -- 0.250)","0.172 (0.163 -- 0.182)","AlpineStrict:Light:log(mass)",-0.0620921814856464,-0.129156581337156,0.0156430738570634,224.356515302699,0.122222222222222,"fixed",0.0680854763201541,1.59121140627762e-06,0.202144681246898,0.052498621828953,1.17856632168628e-06,0.163583092775678
"7","Scarification","3380.77 (17.63)",0.871,"0.016 (0.000 -- 0.047)","0.074 (0.036 -- 0.114)","0.608 (0.000 -- 1.523)","0.265 (0.000 -- 1.210)","0.200 (0.155 -- 0.252)","0.172 (0.163 -- 0.183)","AlpineGeneralist:Scarification:log(mass)",-0.0296217706446972,-0.0837325948814396,0.00868490697757807,180,0.255555555555556,"fixed",0.0771951196485507,2.35828170909592e-06,0.224847902534052,0.0575084943456258,1.52495156283917e-06,0.171753082912349
"8","Scarification","3380.77 (17.63)",0.871,"0.016 (0.000 -- 0.047)","0.074 (0.036 -- 0.114)","0.608 (0.000 -- 1.523)","0.265 (0.000 -- 1.210)","0.200 (0.155 -- 0.252)","0.172 (0.163 -- 0.183)","AlpineStrict:Scarification:log(mass)",0.052484445270806,-0.173364482063334,0.316903796134284,236.597116149765,0.722222222222222,"fixed",0.0771951196485507,2.35828170909592e-06,0.224847902534052,0.0575084943456258,1.52495156283917e-06,0.171753082912349
"9","Stratification","3363.14 (0)",0.854,"0.021 (0.000 -- 0.057)","0.075 (0.033 -- 0.114)","0.569 (0.003 -- 1.781)","0.128 (0.000 -- 0.629)","0.206 (0.153 -- 0.253)","0.171 (0.162 -- 0.182)","AlpineGeneralist:Stratification:log(mass)",0.069524259684321,0.0323369699690375,0.114296138497593,180,0.00555555555555556,"fixed",0.102096643324861,5.41536200068983e-06,0.253145525108301,0.0768437213002094,3.43626763340473e-06,0.206608635808331
"10","Stratification","3363.14 (0)",0.854,"0.021 (0.000 -- 0.057)","0.075 (0.033 -- 0.114)","0.569 (0.003 -- 1.781)","0.128 (0.000 -- 0.629)","0.206 (0.153 -- 0.253)","0.171 (0.162 -- 0.182)","AlpineStrict:Stratification:log(mass)",-0.00692113797445081,-0.0507741297551547,0.0365718627581373,180,0.711111111111111,"fixed",0.102096643324861,5.41536200068983e-06,0.253145525108301,0.0768437213002094,3.43626763340473e-06,0.206608635808331
"11","Tmean","3383.34 (20.2)",0.888,"0.017 (0.000 -- 0.055)","0.070 (0.033 -- 0.115)","0.789 (0.000 -- 2.238)","0.293 (0.000 -- 1.498)","0.205 (0.162 -- 0.254)","0.173 (0.164 -- 0.185)","AlpineGeneralist:Tmean:log(mass)",-0.00948862706015979,-0.0350357139250264,0.0167930481547955,180,0.555555555555556,"fixed",0.0849586433589488,1.79228403771235e-05,0.236866480307804,0.0648074444989419,1.13937501018591e-05,0.192002808141197
