"TPLName","Familia","Form"
"Acaena pinnatifida","Rosaceae",NA
"Achillea atrata","Compositae",NA
"Achillea clavennae","Compositae",NA
"Achillea erba-rotta","Compositae",NA
"Achillea nana","Compositae",NA
"Aciphylla glacialis","Apiaceae",NA
"Aciphylla simplicifolia","Apiaceae",NA
"Aconitum brunneum","Ranunculaceae","F"
"Aconitum bucovinense","Ranunculaceae",NA
"Aconitum firmum","Ranunculaceae",NA
"Aconitum lasiocarpum","Ranunculaceae",NA
"Aconitum lycoctonum","Ranunculaceae",NA
"Aconitum nasutum","Ranunculaceae",NA
"Aconitum talassicum","Ranunculaceae",NA
"Aconitum tanguticum","Ranunculaceae","F"
"Acronema chinense","Apiaceae",NA
"Adenophora himalayana","Campanulaceae","F"
"Adenophora liliifolia","Campanulaceae",NA
"Adenophora liliifolioides","Campanulaceae",NA
"Adenostyles alliariae","Compositae",NA
"Adesmia emarginata","Leguminosae",NA
"Adesmia longipes","Leguminosae",NA
"Adesmia radicifolia","Leguminosae",NA
"Agropyron velutinum","Poaceae",NA
"Agrostis alpina","Poaceae",NA
"Ajania fruticulosa","Compositae","w"
"Ajania salicifolia","Compositae","F"
"Ajania tenuifolia","Compositae","F"
"Alchemilla acutiloba","Rosaceae",NA
"Alchemilla alpina","Rosaceae",NA
"Aletris glandulifera","Nartheciaceae",NA
"Allium chrysanthum","Amaryllidaceae","F"
"Allium chrysocephalum","Amaryllidaceae",NA
"Allium cyaneum","Amaryllidaceae","F"
"Allium cyathophorum","Amaryllidaceae",NA
"Allium prattii","Amaryllidaceae","F"
"Allium przewalskianum","Amaryllidaceae","F"
"Allium rude","Amaryllidaceae","F"
"Allium sikkimense","Amaryllidaceae","F"
"Allium victorialis","Amaryllidaceae","F"
"Alopecurus vaginatus","Poaceae",NA
"Alstroemeria pallida","Alstroemeriaceae",NA
"Alyssoides utriculata","Brassicaceae",NA
"Amberboa glauca","Compositae",NA
"Anaphalis flavescens","Compositae","F"
