"Taxon","TPLName","Familia","Alpine","Source","Country"
"Aciphylla glacialis","Aciphylla glacialis","Apiaceae","Strict","Satyanti","Australia"
"Aciphylla glacialis","Aciphylla glacialis","Apiaceae","Strict","Sommerville","Australia"
"Aciphylla glacialis","Aciphylla glacialis","Apiaceae","Strict","Venn","Australia"
"Aciphylla simplicifolia","Aciphylla simplicifolia","Apiaceae","Generalist","Satyanti","Australia"
"Aciphylla simplicifolia","Aciphylla simplicifolia","Apiaceae","Generalist","Sommerville","Australia"
"Astelia alpina var. novae-hollandiae","Astelia alpina","Asteliaceae","Strict","Satyanti","Australia"
"Astelia psychrocharis","Astelia psychrocharis","Asteliaceae","Strict","Satyanti","Australia"
"Australopyrum velutinum","Agropyron velutinum","Poaceae","Generalist","Satyanti","Australia"
"Baeckea gunniana","Baeckea gunniana","Myrtaceae","Generalist","Satyanti","Australia"
"Baeckea utilis","Baeckea utilis","Myrtaceae","Generalist","Satyanti","Australia"
"Brachyscome barkerae","Brachyscome barkerae","Compositae",NA,"Sommerville","Australia"
"Brachyscome obovata","Brachyscome obovata","Compositae","Generalist","Satyanti","Australia"
"Brachyscome rigidula","Brachyscome rigidula","Compositae","Generalist","Venn","Australia"
"Brachyscome spathulata","Brachyscome spathulata","Compositae","Generalist","Venn","Australia"
"Brachyscome staceae","Brachyscome staceae","Compositae","Lowland","Sommerville","Australia"
"Brachyscome stolonifera","Brachyscome stolonifera","Compositae","Strict","Satyanti","Australia"
"Cardamine robusta","Cardamine robusta","Brassicaceae","Strict","Satyanti","Australia"
"Carex blakei","Carex blakei","Cyperaceae","Strict","Satyanti","Australia"
"Carex capillacea","Carex capillacea","Cyperaceae","Generalist","Satyanti","Australia"
"Carex cephalotes","Carex cephalotes","Cyperaceae","Generalist","Satyanti","Australia"
"Carex echinata","Carex echinata","Cyperaceae","Generalist","Satyanti","Australia"
"Carex gaudichaudiana","Carex gaudichaudiana","Cyperaceae","Generalist","Satyanti","Australia"
"Carex hebes","Carex hebes","Cyperaceae","Strict","Satyanti","Australia"
"Carex hypandra","Carex hypandra","Cyperaceae","Strict","Satyanti","Australia"
"Carex iynx","Carex iynx","Cyperaceae","Lowland","Satyanti","Australia"
"Carpha nivicola","Carpha nivicola","Cyperaceae","Generalist","Satyanti","Australia"
"Celmisia costiniana","Celmisia costiniana","Compositae","Strict","Satyanti","Australia"
"Celmisia pugioniformis","Celmisia pugioniformis","Compositae","Generalist","Satyanti","Australia"
"Chionogentias muelleriana ssp. alpestris","Gentianella muelleriana","Gentianaceae","Strict","Satyanti","Australia"
"Colobanthus affinis","Colobanthus affinis","Caryophyllaceae","Strict","Satyanti","Australia"
"Coronidium gunnianum","Coronidium gunnianum","Compositae","Lowland","Sommerville","Australia"
"Coronidium waddelliae","Coronidium waddelliae","Compositae","Lowland","Sommerville","Australia"
"Craspedia alba","Craspedia alba","Compositae","Strict","Satyanti","Australia"
"Craspedia costiniana","Craspedia costiniana","Compositae","Strict","Satyanti","Australia"
"Craspedia jamesii","Craspedia jamesii","Compositae","Generalist","Satyanti","Australia"
