"TPLName","Alpine","Plant category","Life form","Lifespan","Reproduction frequency","Dormancy","Embryo","Seed.mass","Source","Macroregion","Region","Accession","Dish","Scarification","GA3","Stratification","Stratification_Y_N","Light","Alternating","Tmean","Tdif","Temperature","Sown","Germinated","Germinable","MGT","MGR","UNC","SYN"
"Plantago alpina","Strict","Herb","H","perennial","polycarp",NA,0.72,"0.6","Mondoni","Europe","Apennines","Italy 111 AQ NA NA","1","N","N","None","N","Y","N",25,0,"25C","30",18,20,"14.3888888888889","6.9498069498069498E-2","1.05294076056263","0.54901960784313697"
"Senecio squalidus","Generalist","Herb","T, H","annual, perennial","monocarp, ?polycarp",NA,1,"0.287166666666667","Mondoni","Europe","Apennines","Italy 2CT NA NA","1","N","N","None","N","Y","Y",20,10,"20C","30",13,22,"NA","NA","0","NA"
"Festuca violacea","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.4784","Mondoni","Europe","Apennines","Italy 97 AQ NA NA","1","N","N","None","N","Y","N",20,0,"20C","30",24,24,"8.1666666666666696","0.122448979591837","0.650022421648354","0.71014492753623204"
"Plantago alpina","Strict","Herb","H","perennial","polycarp",NA,0.72,"0.6","Mondoni","Europe","Apennines","Italy 111 AQ NA NA","1","N","Y","None","N","Y","N",15,0,"15C","30",30,30,"10.733333333333301","9.3167701863354005E-2","0.996791631981637","0.48505747126436799"
"Silene rupestris","Generalist","Herb","H","perennial","polycarp","PD",0.61,"0.0696","Mondoni","Europe","Apennines","Italy 23RE NA NA","1","N","N","None","N","Y","N",20,0,"20C","25",25,25,"NA","NA","0","NA"
"Senecio squalidus","Generalist","Herb","T, H","annual, perennial","monocarp, ?polycarp",NA,1,"0.287166666666667","Mondoni","Europe","Apennines","Italy 2CT NA NA","1","N","N","None","N","Y","N",15,0,"15C","30",15,15,"NA","NA","0","NA"
"Senecio squalidus","Generalist","Herb","T, H","annual, perennial","monocarp, ?polycarp",NA,1,"0.287166666666667","Mondoni","Europe","Apennines","Italy 2CT NA NA","1","N","Y","None","N","Y","N",15,0,"15C","30",12,12,"NA","NA","0","NA"
"Senecio squalidus","Generalist","Herb","T, H","annual, perennial","monocarp, ?polycarp",NA,1,"0.287166666666667","Mondoni","Europe","Apennines","Italy 2CT NA NA","1","N","Y","None","N","Y","N",20,0,"20C","30",12,22,"NA","NA","0","NA"
"Senecio squalidus","Generalist","Herb","T, H","annual, perennial","monocarp, ?polycarp",NA,1,"0.287166666666667","Mondoni","Europe","Apennines","Italy 2CT NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","30",16,16,"NA","NA","0","NA"
"Centaurea nervosa","Strict","Herb","H","perennial","polycarp",NA,1,"3.4184","Mondoni","Europe","Apennines","Italy 107 AQ NA NA","3","N","Y","None","N","Y","Y",25,10,"25C","30",25,27,"8.1199999999999992","0.123152709359606","0.634309554640566","0.72"
"Centaurea nervosa","Strict","Herb","H","perennial","polycarp",NA,1,"3.4184","Mondoni","Europe","Apennines","Italy 107 AQ NA NA","1","N","N","None","N","Y","Y",25,10,"25C","30",14,19,"8.5","0.11764705882352899","0.371232326640876","0.85714285714285698"
"Centaurea nervosa","Strict","Herb","H","perennial","polycarp",NA,1,"3.4184","Mondoni","Europe","Apennines","Italy 107 AQ NA NA","3","N","Y","None","N","Y","Y",25,10,"25C","50",37,40,"7","0.14285714285714299","0","1"
"Centaurea nervosa","Strict","Herb","H","perennial","polycarp",NA,1,"3.4184","Mondoni","Europe","Apennines","Italy 107 AQ NA NA","1","N","N","None","N","Y","N",25,0,"25C","30",10,25,"7","0.14285714285714299","0","1"
"Festuca violacea","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.4784","Mondoni","Europe","Apennines","Italy 97 AQ NA NA","1","N","N","None","N","Y","N",15,0,"15C","30",21,26,"10","0.1","0.985228136034252","0.48571428571428599"
"Festuca violacea","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.4784","Mondoni","Europe","Apennines","Italy 55RE NA NA","1","N","N","None","N","Y","N",15,0,"15C","30",21,26,"NA","NA","0","NA"
"Festuca violacea","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.4784","Mondoni","Europe","Apennines","Italy 55RE NA NA","1","N","N","None","N","Y","N",20,0,"20C","30",24,24,"NA","NA","0","NA"
"Centaurea nervosa","Strict","Herb","H","perennial","polycarp",NA,1,"3.4184","Mondoni","Europe","Apennines","Italy 59RE NA NA","1","N","Y","None","N","Y","Y",25,10,"25C","30",25,27,"NA","NA","0","NA"
"Silene suecica","Strict","Herb","H","perennial","polycarp",NA,0.61,"0.0695","Mondoni","Europe","Apennines","Italy 17RE NA NA","1","N","N","None","N","Y","N",20,0,"20C","25",20,25,"NA","NA","0","NA"
"Centaurea nervosa","Strict","Herb","H","perennial","polycarp",NA,1,"3.4184","Mondoni","Europe","Apennines","Italy 107 AQ NA NA","3","N","Y","None","N","Y","Y",25,10,"25C","50",42,45,"7","0.14285714285714299","0","1"
"Trifolium thalii","Strict","Herb","H","perennial","polycarp",NA,0.99,"1.2688","Mondoni","Europe","Apennines","Italy 10RE NA NA","1","N","N","None","N","Y","N",20,0,"20C","50",15,47,"NA","NA","0","NA"
"Carex foetida","Strict","Grass","H","perennial","polycarp",NA,0.06,"0.408","Mondoni","Europe","Apennines","Italy RE957 NA NA","1","N","Y","None","N","Y","Y",15,10,"15C","30",1,27,"NA","NA","0","NA"
"Trifolium thalii","Strict","Herb","H","perennial","polycarp",NA,0.99,"1.2688","Mondoni","Europe","Apennines","Italy 10RE NA NA","1","Y","N","None","N","Y","N",20,0,"20C","20",20,20,"NA","NA","0","NA"
"Plantago alpina","Strict","Herb","H","perennial","polycarp",NA,0.72,"0.6","Mondoni","Europe","Apennines","Italy 56RE NA NA","1","N","Y","None","N","Y","N",15,0,"15C","30",30,30,"NA","NA","0","NA"
"Carex foetida","Strict","Grass","H","perennial","polycarp",NA,0.06,"0.408","Mondoni","Europe","Apennines","Italy RE958 NA NA","1","N","Y","None","N","Y","Y",15,10,"15C","29",2,29,"NA","NA","0","NA"
"Plantago alpina","Strict","Herb","H","perennial","polycarp",NA,0.72,"0.6","Mondoni","Europe","Apennines","Italy 111 AQ NA NA","1","N","Y","None","N","Y","N",25,0,"25C","30",24,24,"7.875","0.126984126984127","0.497150183636967","0.83695652173913004"
"Plantago atrata","Strict","Herb","H","perennial","polycarp",NA,0.72,"3.0744","Mondoni","Europe","Apennines","Italy 49RE NA NA","1","N","Y","None","N","Y","N",15,0,"15C","30",20,27,"NA","NA","0","NA"
"Plantago atrata","Strict","Herb","H","perennial","polycarp",NA,0.72,"3.0744","Mondoni","Europe","Apennines","Italy 49RE NA NA","1","N","Y","None","N","Y","Y",15,10,"15C","30",23,25,"NA","NA","0","NA"
"Silene rupestris","Generalist","Herb","H","perennial","polycarp","PD",0.61,"0.0696","Mondoni","Europe","Apennines","Italy 22RE NA NA","1","N","N","None","N","Y","N",20,0,"20C","25",23,25,"NA","NA","0","NA"
"Silene rupestris","Generalist","Herb","H","perennial","polycarp","PD",0.61,"0.0696","Mondoni","Europe","Apennines","Italy 23RE NA NA","1","N","N","None","N","Y","N",15,0,"15C","25",25,25,"NA","NA","0","NA"
"Trollius europaeus","Generalist","Herb","H","perennial","polycarp","MPD",0.07,"0.9868","Mondoni","Europe","Apennines","Italy PV107 NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","30",26,26,"NA","NA","0","NA"
"Silene rupestris","Generalist","Herb","H","perennial","polycarp","PD",0.61,"0.0696","Mondoni","Europe","Apennines","Italy 22RE NA NA","1","N","N","None","N","Y","N",15,0,"15C","25",25,25,"NA","NA","0","NA"
"Senecio squalidus","Generalist","Herb","T, H","annual, perennial","monocarp, ?polycarp",NA,1,"0.287166666666667","Mondoni","Europe","Apennines","Italy 2CT NA NA","1","N","N","None","N","Y","N",20,0,"20C","30",13,13,"NA","NA","0","NA"
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","Cold","Y","Y","N",20,0,"20C","20",10,11,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bogong NA NA","5","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",10,13,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Howitt NA NA","5","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",19,20,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","9","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,19,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bogong NA NA","11","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,19,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Hotham NA NA","15","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",17,20,NA,NA,NA,NA
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Satyanti","Australia","Australian Alps","Australia 797746 NA NA","3","N","N","None","N","Y","Y",20,10,"20C","25",23,23,"10.521739130434799","9.5041322314049603E-2","1.56534021617407","0.312252964426877"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia McKay NA NA","15","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",15,20,"8.4","0.119047619047619","1.4716022614098","0.4"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia KB2 NA NA","6","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",15,20,"10.6666666666667","9.375E-2","1.4716022614098","0.4"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bluff NA NA","9","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,20,"7.8888888888888902","0.12676056338028199","1.19417373425691","0.45751633986928097"
"Olearia phlogopappa","Generalist","Woody","NP","perennial","polycarp",NA,1,"0.6016","Venn","Australia","Australian Alps","Australia Speculation NA NA","16","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",7,17,NA,NA,NA,NA
"Drosera arcturi","Strict","Herb","H","perennial","polycarp",NA,0.19,"0.0564","Satyanti","Australia","Australian Alps","Australia 792186 NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","25",21,25,"14.3333333333333","6.9767441860465101E-2","0.276195427647939","0.90476190476190499"
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","None","N","Y","N",2.5,0,"0C","20",13,20,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Buller NA NA","12","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,20,"7.8888888888888902","0.12676056338028199","1.87531561761973","0.28104575163398698"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bluff NA NA","8","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",18,20,"9.7222222222222197","0.10285714285714299","1.3355055565171","0.47058823529411797"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Buller NA NA","9","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",17,20,"6.4705882352941204","0.15454545454545501","1.44664795951028","0.36029411764705899"
"Microseris lanceolata","Generalist","Herb","H","perennial","polycarp","PD",1,"2.08","Venn","Australia","Australian Alps","Australia HWP NA NA","11","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",16,19,"11.0625","9.03954802259887E-2","0.868392729010363","0.65833333333333299"
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Bogong NA NA","13","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",15,17,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bluff NA NA","4","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",15,20,NA,NA,NA,NA
"Olearia phlogopappa","Generalist","Woody","NP","perennial","polycarp",NA,1,"0.6016","Venn","Australia","Australian Alps","Australia KB2 NA NA","16","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",5,15,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Bogong NA NA","3","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",16,20,"10.625","9.41176470588235E-2","1.67742128382936","0.30833333333333302"
"Drosera arcturi","Strict","Herb","H","perennial","polycarp",NA,0.19,"0.0564","Satyanti","Australia","Australian Alps","Australia 792186 NA NA","2","N","N","None","N","Y","Y",20,10,"20C","25",1,25,"56","1.7857142857142901E-2","0","NA"
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","2","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",16,20,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia HWP NA NA","15","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",17,20,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Bogong NA NA","11","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",11,11,"15.363636363636401","6.5088757396449703E-2","1.86763389097121","0.218181818181818"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bluff NA NA","16","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",17,20,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bogong NA NA","13","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",19,20,"8.5789473684210495","0.11656441717791401","0.9980008838723","0.47368421052631599"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia HWP NA NA","3","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",18,19,"9.3333333333333304","0.107142857142857","0.991076059838222","0.47712418300653597"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Magdala NA NA","5","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",16,20,"8.375","0.119402985074627","0.543564443199596","0.76666666666666705"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Magdala NA NA","6","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",14,20,NA,NA,NA,NA
