"TPLName","Taxon","Source","Year","Country","Region","Accession","Latitude","Longitude","Elevation","Dish","Scarification","GA3","Stratification","Stratification_temperature","Stratification_days","Light","Photoperiod","Alternating","Tdif","Tmax","Tmin","Tmean","Temperature","Length.experiment","Sown","Germinated","Germinable","GRS","GRP","MGT","MGR","GSP","UNC","SYN","VGT","SDG","CVG"
"Acaena pinnatifida","Acaena pinnatifida","Cavieres",NA,"Chile","Central Andes","Chile Chile -33.352035 -70.315812","-33.352035",-70.315812,"2200-2500","3","N","N","Cold","4","90","Y",12,"Y",10,20,10,15,"15C",NA,"25",1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaena pinnatifida","Acaena pinnatifida","Cavieres",NA,"Chile","Central Andes","Chile Chile -33.352035 -70.315812","-33.352035",-70.315812,"2200-2500","3","N","N","Cold","4","90","Y",12,"Y",5,10,5,7.5,"5C",NA,"30",4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaena pinnatifida","Acaena pinnatifida","Cavieres",NA,"Chile","Central Andes","Chile Chile -33.352035 -70.315812","-33.352035",-70.315812,"2200-2500","1","N","N","Cold","4","90","Y",12,"Y",5,10,5,7.5,"5C",NA,"25",9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaena pinnatifida","Acaena pinnatifida","Cavieres",NA,"Chile","Central Andes","Chile Chile -33.352035 -70.315812","-33.352035",-70.315812,"2200-2500","3","N","N","None",NA,"0","Y",12,"Y",5,10,5,7.5,"5C",NA,"25",10,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaena pinnatifida","Acaena pinnatifida","Cavieres",NA,"Chile","Central Andes","Chile Chile -33.352035 -70.315812","-33.352035",-70.315812,"2200-2500","1","N","N","Cold","4","90","Y",12,"Y",5,10,5,7.5,"5C",NA,"30",2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaena pinnatifida","Acaena pinnatifida","Cavieres",NA,"Chile","Central Andes","Chile Chile -33.352035 -70.315812","-33.352035",-70.315812,"2200-2500","2","N","N","Cold","4","90","Y",12,"Y",5,10,5,7.5,"5C",NA,"25",8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaena pinnatifida","Acaena pinnatifida","Cavieres",NA,"Chile","Central Andes","Chile Chile -33.352035 -70.315812","-33.352035",-70.315812,"2200-2500","3","N","N","Cold","4","30","Y",12,"Y",5,10,5,7.5,"5C",NA,"30",6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaena pinnatifida","Acaena pinnatifida","Cavieres",NA,"Chile","Central Andes","Chile Chile -33.352035 -70.315812","-33.352035",-70.315812,"2200-2500","2","N","N","Cold","4","90","Y",12,"Y",10,20,10,15,"15C",NA,"25",1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaena pinnatifida","Acaena pinnatifida","Cavieres",NA,"Chile","Central Andes","Chile Chile -33.352035 -70.315812","-33.352035",-70.315812,"2200-2500","1","N","N","None",NA,"0","Y",12,"Y",5,10,5,7.5,"5C",NA,"25",0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaena pinnatifida","Acaena pinnatifida","Cavieres",NA,"Chile","Central Andes","Chile Chile -33.352035 -70.315812","-33.352035",-70.315812,"2200-2500","1","N","N","Cold","4","30","Y",12,"Y",5,10,5,7.5,"5C",NA,"30",8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
