"Population","Accession","Country","Region"
"Population 195","Australia 609897 NA NA","Australia","Australian Alps"
"Population 189","Australia 746168 NA NA","Australia","Australian Alps"
"Population 216","Australia 747969 NA NA","Australia","Australian Alps"
"Population 156","Australia 747974 NA NA","Australia","Australian Alps"
"Population 163","Australia 747976 NA NA","Australia","Australian Alps"
"Population 555","Australia 747978 NA NA","Australia","Australian Alps"
"Population 187","Australia 748565 NA NA","Australia","Australian Alps"
"Population 167","Australia 748568 NA NA","Australia","Australian Alps"
"Population 229","Australia 748574 NA NA","Australia","Australian Alps"
"Population 254","Australia 749145 NA NA","Australia","Australian Alps"
"Population 331","Australia 770050 NA NA","Australia","Australian Alps"
"Population 386","Australia 770056 NA NA","Australia","Australian Alps"
"Population 193","Australia 770451 NA NA","Australia","Australian Alps"
"Population 425","Australia 770455 NA NA","Australia","Australian Alps"
"Population 242","Australia 770467 NA NA","Australia","Australian Alps"
"Population 443","Australia 770475 NA NA","Australia","Australian Alps"
"Population 368","Australia 770484 NA NA","Australia","Australian Alps"
"Population 446","Australia 770497 NA NA","Australia","Australian Alps"
"Population 154","Australia 770501 NA NA","Australia","Australian Alps"
"Population 343","Australia 771006 NA NA","Australia","Australian Alps"
"Population 442","Australia 771036 NA NA","Australia","Australian Alps"
"Population 146","Australia 771040 NA NA","Australia","Australian Alps"
"Population 362","Australia 771046 NA NA","Australia","Australian Alps"
"Population 377","Australia 771063 NA NA","Australia","Australian Alps"
"Population 479","Australia 782512 NA NA","Australia","Australian Alps"
"Population 30","Australia 782521 NA NA","Australia","Australian Alps"
"Population 435","Australia 782522 NA NA","Australia","Australian Alps"
"Population 190","Australia 782529 NA NA","Australia","Australian Alps"
"Population 235","Australia 782533 NA NA","Australia","Australian Alps"
"Population 169","Australia 782554 NA NA","Australia","Australian Alps"
"Population 402","Australia 783421 NA NA","Australia","Australian Alps"
"Population 99","Australia 783423 NA NA","Australia","Australian Alps"
"Population 202","Australia 783436 NA NA","Australia","Australian Alps"
"Population 356","Australia 783437 NA NA","Australia","Australian Alps"
"Population 323","Australia 783440 NA NA","Australia","Australian Alps"
"Population 197","Australia 783441 NA NA","Australia","Australian Alps"
"Population 423","Australia 783454 NA NA","Australia","Australian Alps"
"Population 588","Australia 783456 NA NA","Australia","Australian Alps"
"Population 420","Australia 783609 NA NA","Australia","Australian Alps"
"Population 191","Australia 786943 NA NA","Australia","Australian Alps"
"Population 424","Australia 786945 NA NA","Australia","Australian Alps"
"Population 419","Australia 786947 NA NA","Australia","Australian Alps"
"Population 223","Australia 786948 NA NA","Australia","Australian Alps"
"Population 217","Australia 786949 NA NA","Australia","Australian Alps"
"Population 428","Australia 786950 NA NA","Australia","Australian Alps"
"Population 218","Australia 786951 NA NA","Australia","Australian Alps"
"Population 153","Australia 792142 NA NA","Australia","Australian Alps"
"Population 430","Australia 792143 NA NA","Australia","Australian Alps"
"Population 421","Australia 792145 NA NA","Australia","Australian Alps"
"Population 422","Australia 792148 NA NA","Australia","Australian Alps"
"Population 354","Australia 792149 NA NA","Australia","Australian Alps"
"Population 241","Australia 792150 NA NA","Australia","Australian Alps"
"Population 155","Australia 792155 NA NA","Australia","Australian Alps"
"Population 247","Australia 792158 NA NA","Australia","Australian Alps"
"Population 417","Australia 792160 NA NA","Australia","Australian Alps"
"Population 119","Australia 792161 NA NA","Australia","Australian Alps"
"Population 586","Australia 792162 NA NA","Australia","Australian Alps"
"Population 38","Australia 792163 NA NA","Australia","Australian Alps"
"Population 486","Australia 792165 NA NA","Australia","Australian Alps"
"Population 253","Australia 792166 NA NA","Australia","Australian Alps"
"Population 369","Australia 792168 NA NA","Australia","Australian Alps"
"Population 315","Australia 792171 NA NA","Australia","Australian Alps"
"Population 37","Australia 792173 NA NA","Australia","Australian Alps"
"Population 234","Australia 792176 NA NA","Australia","Australian Alps"
"Population 556","Australia 792181 NA NA","Australia","Australian Alps"
"Population 585","Australia 792185 NA NA","Australia","Australian Alps"
"Population 222","Australia 792186 NA NA","Australia","Australian Alps"
"Population 245","Australia 792191 NA NA","Australia","Australian Alps"
"Population 96","Australia 792193 NA NA","Australia","Australian Alps"
"Population 305","Australia 792200 NA NA","Australia","Australian Alps"
"Population 39","Australia 792204 NA NA","Australia","Australian Alps"
"Population 231","Australia 792206 NA NA","Australia","Australian Alps"
"Population 186","Australia 792208 NA NA","Australia","Australian Alps"
"Population 302","Australia 792209 NA NA","Australia","Australian Alps"
"Population 289","Australia 792215 NA NA","Australia","Australian Alps"
"Population 358","Australia 792218 NA NA","Australia","Australian Alps"
"Population 152","Australia 792229 NA NA","Australia","Australian Alps"
"Population 558","Australia 792230 NA NA","Australia","Australian Alps"
"Population 288","Australia 792231 NA NA","Australia","Australian Alps"
"Population 554","Australia 794379 NA NA","Australia","Australian Alps"
"Population 427","Australia 797733 NA NA","Australia","Australian Alps"
"Population 444","Australia 797742 NA NA","Australia","Australian Alps"
"Population 322","Australia 797746 NA NA","Australia","Australian Alps"
"Population 384","Australia 797747 NA NA","Australia","Australian Alps"
"Population 108","Australia 797826 NA NA","Australia","Australian Alps"
"Population 168","Australia 798295 NA NA","Australia","Australian Alps"
"Population 401","Australia 798300 NA NA","Australia","Australian Alps"
"Population 416","Australia 798436 NA NA","Australia","Australian Alps"
"Population 587","Australia 798454 NA NA","Australia","Australian Alps"
"Population 400","Australia 798459 NA NA","Australia","Australian Alps"
"Population 246","Australia 798465 NA NA","Australia","Australian Alps"
"Population 353","Australia 798467 NA NA","Australia","Australian Alps"
"Population 355","Australia 807987 NA NA","Australia","Australian Alps"
"Population 97","Australia 807988 NA NA","Australia","Australian Alps"
"Population 194","Australia 808040 NA NA","Australia","Australian Alps"
"Population 196","Australia 808041 NA NA","Australia","Australian Alps"
"Population 378","Australia 808045 NA NA","Australia","Australian Alps"
"Population 161","Australia 808752 NA NA","Australia","Australian Alps"
"Population 162","Australia 808766 NA NA","Australia","Australian Alps"
"Population 480","Australia 808772 NA NA","Australia","Australian Alps"
"Population 300","Australia 808779 NA NA","Australia","Australian Alps"
"Population 240","Australia 8101025 NA NA","Australia","Australian Alps"
"Population 329","Australia 813602 NA NA","Australia","Australian Alps"
"Population 426","Australia 813613 NA NA","Australia","Australian Alps"
"Population 346","Australia 813614 NA NA","Australia","Australian Alps"
"Population 232","Australia 813615 NA NA","Australia","Australian Alps"
"Population 164","Australia 865438 NA NA","Australia","Australian Alps"
"Population 437","Australia 865439 NA NA","Australia","Australian Alps"
"Population 327","Australia 866326 NA NA","Australia","Australian Alps"
"Population 228","Australia 866367 NA NA","Australia","Australian Alps"
"Population 361","Australia 866370 NA NA","Australia","Australian Alps"
"Population 103","Australia 866372 NA NA","Australia","Australian Alps"
