"TPLName","Familia","Alpine","Seed.mass","Dormancy","Embryo"
"Acaena pinnatifida","Rosaceae","Generalist",8.9,"PD",0.9
"Achillea atrata","Compositae","Strict",NA,"PD",1
"Achillea clavennae","Compositae","Strict",0.449,NA,1
"Achillea erba-rotta","Compositae","Strict",0.274,NA,1
"Achillea nana","Compositae","Strict",NA,NA,1
"Aciphylla glacialis","Apiaceae","Strict",5.899,NA,0.05
"Aciphylla simplicifolia","Apiaceae","Generalist",5.006,NA,0.04
"Aconitum brunneum","Ranunculaceae","Strict",1.87566666666667,"MPD",0.05
"Aconitum bucovinense","Ranunculaceae","Strict",NA,NA,0.05
"Aconitum lasiocarpum","Ranunculaceae","Generalist",NA,NA,0.05
"Aconitum lycoctonum","Ranunculaceae","Generalist",NA,"MPD",0.05
"Aconitum tanguticum","Ranunculaceae","Strict",NA,"MPD",0.05
"Acronema chinense","Apiaceae","Strict",NA,"MPD",0.06
"Adenophora himalayana","Campanulaceae","Generalist",NA,NA,0.22
"Adenophora liliifolioides","Campanulaceae","Generalist",0.138666666666667,"PD",0.22
"Adenostyles alliariae","Compositae","Generalist",NA,NA,1
"Adesmia emarginata","Leguminosae","Generalist",NA,NA,1
"Adesmia longipes","Leguminosae","Strict",NA,NA,1
"Adesmia radicifolia","Leguminosae","Generalist",NA,NA,1
"Agropyron velutinum","Poaceae","Generalist",NA,NA,0.2
"Agrostis alpina","Poaceae","Strict",NA,NA,0.2
"Ajania fruticulosa","Compositae","Generalist",0.253,NA,1
"Ajania salicifolia","Compositae","Generalist",0.266516666666667,"ND",1
"Ajania tenuifolia","Compositae","Generalist",0.0960166666666667,"PD",1
"Alchemilla alpina","Rosaceae","Strict",NA,"PD",0.9
"Aletris glandulifera","Nartheciaceae","Strict",NA,NA,0.08
"Allium chrysanthum","Amaryllidaceae","Generalist",0.635666666666667,"PD",0.35
"Allium chrysocephalum","Amaryllidaceae","Strict",NA,"PD",0.35
"Allium cyaneum","Amaryllidaceae","Generalist",0.532211111111111,"PD",0.35
"Allium cyathophorum","Amaryllidaceae","Generalist",1.97556666666667,NA,0.35
"Allium prattii","Amaryllidaceae","Generalist",NA,NA,0.35
"Allium przewalskianum","Amaryllidaceae","Generalist",NA,"PD",0.35
"Allium rude","Amaryllidaceae","Generalist",0.5127,"PD",0.35
"Allium sikkimense","Amaryllidaceae","Generalist",0.494,"PD",0.35
"Allium victorialis","Amaryllidaceae","Strict",3.31894444444444,"MPD",0.35
"Alstroemeria pallida","Alstroemeriaceae","Generalist",18.3,NA,0.14
"Anaphalis flavescens","Compositae","Generalist",0.09605,"PD",1
"Anaphalis latialata","Compositae","Strict",0.0947,"ND",1
"Anaphalis nepalensis","Compositae","Generalist",0.263,NA,1
"Anarthrophyllum cumingii","Leguminosae","Generalist",NA,NA,0.97
"Anarthrophyllum gayanum","Leguminosae","Strict",3.4,NA,0.97
"Androsace chamaejasme","Primulaceae","Strict",0.5964,NA,0.21
"Androsace gmelinii","Primulaceae","Generalist",0.163166666666667,NA,0.21
"Androsace obtusifolia","Primulaceae","Strict",0.4268,NA,0.21
"Androsace villosa","Primulaceae","Generalist",1.0782,NA,0.21
"Anemone alpina","Ranunculaceae","Strict",4.4944,"MPD",0.04
"Anemone narcissiflora","Ranunculaceae","Strict",NA,NA,0.04
"Anemone rivularis","Ranunculaceae","Generalist",6.89005,"MPD",0.04
"Anemone vernalis","Ranunculaceae","Strict",1.8966,NA,0.04
"Anisodus tanguticus","Solanaceae","Generalist",7.2485,"PD",0.47
"Antennaria dioica","Compositae","Generalist",0.06,NA,1
"Anthoxanthum odoratum","Poaceae","Generalist",0.55,"PD",0.05
"Anthriscus sylvestris","Apiaceae","Generalist",3.57465,"MPD",0.02
"Anthyllis vulneraria","Leguminosae","Generalist",3.48434,"PY",0.98
"Arabis alpina","Brassicaceae","Generalist",0.4,NA,1
"Arabis caerulea","Brassicaceae","Strict",NA,NA,1
"Arenaria biflora","Caryophyllaceae","Strict",0.0872,NA,0.61
"Arenaria edgeworthiana","Caryophyllaceae","Strict",0.866333333333333,NA,0.61
"Arenaria erinacea","Caryophyllaceae","Generalist",NA,NA,0.61
"Arenaria grandiflora","Caryophyllaceae","Generalist",0.5456,NA,0.61
"Arenaria kansuensis","Caryophyllaceae","Strict",0.1257,"PD",0.61
"Arenaria norvegica","Caryophyllaceae","Generalist",NA,NA,0.61
"Arenaria norvegica","Caryophyllaceae","Generalist",NA,NA,0.61
"Arenaria purpurascens","Caryophyllaceae","Strict",NA,NA,0.61
"Aristida triseta","Poaceae","Generalist",0.2767,"PD",0.34
"Armeria alpina","Plumbaginaceae","Strict",1.9264,NA,0.95
"Armeria cantabrica","Plumbaginaceae","Strict",1.7292,NA,0.95
"Arnica montana","Compositae","Generalist",1.28825,NA,1
"Artemisia desertorum","Compositae","Strict",0.133983333333333,"PD",1
"Artemisia genipi","Compositae","Strict",0.22,NA,1
"Artemisia glacialis","Compositae","Strict",NA,NA,1
